epoch,step,train_loss_epoch,train_loss_step
0,1,1562731.4812620978,
1,3,1562494.7822642543,
2,5,1562263.4931811413,
3,7,1562033.545988343,
4,9,1561822.618606768,
5,11,1561594.828261463,
6,13,1561337.04624493,
7,15,1561048.4460382205,
8,17,1560722.9153869245,
9,19,1560358.50055352,
10,21,1559951.0424920344,
11,23,1559499.1430883792,
12,25,1558997.8926650956,
13,27,1558441.420799733,
14,29,1557824.600080654,
15,31,1557138.424275197,
16,33,1556377.3101174757,
17,35,1555534.8448283134,
18,37,1554602.6330723218,
19,39,1553573.0890536373,
20,41,1552437.5246065625,
21,43,1551183.7426243278,
22,45,1549805.3961251487,
23,47,1548285.1374789048,
24,49,,1422784.6611355988
24,49,1546620.1468179438,
25,51,1544785.6656678792,
26,53,1542781.3497584877,
27,55,1540589.8349598937,
28,57,1538199.7125528904,
29,59,1535584.3960153556,
30,61,1532744.9568237506,
31,63,1529659.7810927858,
32,65,1526312.1186857498,
33,67,1522682.9254723692,
34,69,1518776.30385417,
35,71,1514562.7559598146,
36,73,1510041.3918365776,
37,75,1505163.2420957899,
38,77,1499926.5965862726,
39,79,1494318.9322276455,
40,81,1488318.4567304053,
41,83,1481924.2323080727,
42,85,1475120.508820817,
43,87,1467880.0149082218,
44,89,1460153.5866921768,
45,91,1452005.0259905644,
46,93,1443339.839979252,
47,95,1434239.390454139,
48,97,1424649.6955656954,
49,99,,1059908.5082031284
49,99,1414634.2268418358,
50,101,1404095.6713417857,
51,103,1393114.3497086125,
52,105,1381697.4876616423,
53,107,1369743.5270550149,
54,109,1357404.104218079,
55,111,1344568.9197337956,
56,113,1331361.9609176642,
57,115,1317794.5903961828,
58,117,1303854.689627951,
59,119,1289599.4299132884,
60,121,1275026.252355668,
61,123,1260240.2950515652,
62,125,1245312.9253464257,
63,127,1230275.7818003555,
64,129,1215127.0312838976,
65,131,1199986.3802776975,
66,133,1184959.3505244208,
67,135,1170080.064732099,
68,137,1155432.924452858,
69,139,1141058.8497450056,
70,141,1126990.056846383,
71,143,1113308.7060341642,
72,145,1100166.8081498754,
73,147,1087484.4635957517,
74,149,,1210093.2039376895
74,149,1075462.3757071223,
75,151,1064131.1044865611,
76,153,1053625.1089418617,
77,155,1043883.2533599942,
78,157,1035075.9567181434,
79,159,1027175.1536416338,
80,161,1020087.5423825491,
81,163,1013725.888424207,
82,165,1008103.4395570409,
83,167,1003071.2683034717,
84,169,998910.3309142475,
85,171,995184.8058058617,
86,173,992114.287762742,
87,175,989441.11978935,
88,177,987151.7262260154,
89,179,985109.3615146056,
90,181,983264.6094880452,
91,183,981514.248533614,
92,185,979832.5159023494,
93,187,978205.5929253947,
94,189,976625.2275909412,
95,191,975006.2581731612,
96,193,973445.5168486458,
97,195,971797.1249681466,
98,197,970192.8833985395,
99,199,,803363.8294789507
99,199,968518.3328196701,
