epoch,step,train_loss_epoch,train_loss_step
0,1,966804.0091582533,
1,3,965206.7058760787,
2,5,963552.246092446,
3,7,961850.6676888654,
4,9,960279.5221806176,
5,11,958709.7210626508,
6,13,957306.0787518714,
7,15,955718.4271635922,
8,17,954210.5912496469,
9,19,952574.2911565872,
10,21,950864.1270106336,
11,23,949364.3290226518,
12,25,947780.5656868097,
13,27,946144.2705578693,
14,29,944539.0037998104,
15,31,942923.5174850608,
16,33,941297.1985847814,
17,35,939644.2078853019,
18,37,937994.1792634755,
19,39,936326.7073078691,
20,41,934680.8068956496,
21,43,933020.6046157243,
22,45,931359.3714482128,
23,47,929665.0586147713,
24,49,,1189142.3663964255
24,49,927922.7168328813,
25,51,926333.9502405523,
26,53,924558.5667657951,
27,55,922947.3238615657,
28,57,921319.5423324606,
29,59,919636.6073952034,
30,61,918007.039895577,
31,63,916288.5788811414,
32,65,914654.3594633426,
33,67,912969.1312573857,
34,69,911250.265658954,
35,71,909663.9852220954,
36,73,907941.3830348952,
37,75,906366.0646645648,
38,77,904718.811887385,
39,79,903077.809496972,
40,81,901456.4128861061,
41,83,899851.541064138,
42,85,898217.8524620568,
43,87,896542.623242062,
44,89,894993.5134180152,
45,91,893420.3241874558,
46,93,891838.9677745353,
47,95,890339.4530202965,
48,97,888837.6391854063,
49,99,,1455440.4362532166
49,99,887323.181946602,
50,101,885890.2617077198,
51,103,884438.2141918142,
52,105,882907.0069255376,
53,107,881390.313371761,
54,109,879896.1218580812,
55,111,878439.3454893136,
56,113,877025.3119934434,
57,115,875659.713497002,
58,117,874268.7693835723,
59,119,872967.5022825865,
60,121,871688.9138277912,
61,123,870415.3214518785,
62,125,869083.8005531386,
63,127,867929.6449288676,
64,129,866739.2148308435,
65,131,865430.4257281238,
66,133,864391.4184520055,
67,135,863282.3855028013,
68,137,862259.6798467817,
69,139,861202.3176695156,
70,141,860095.8362037705,
71,143,859059.8853892798,
72,145,858065.8651878968,
73,147,857018.1192033696,
74,149,,778766.0978004273
74,149,856080.5735153187,
75,151,855154.3959197043,
76,153,854209.9122829959,
77,155,853282.504533854,
78,157,852368.7589389805,
79,159,851536.2637480686,
80,161,850759.2997470103,
81,163,849986.1417491398,
82,165,849222.7265369047,
83,167,848441.2942231684,
84,169,847602.2650130216,
85,171,846810.5627943054,
86,173,845984.6703459914,
87,175,845322.6507506118,
88,177,844731.2654471352,
89,179,844182.6736304851,
90,181,843545.1294723019,
91,183,842787.9262763591,
92,185,842026.3357160407,
93,187,841226.169186513,
94,189,840570.5143987944,
95,191,840047.6409948433,
96,193,839525.6101856846,
97,195,838941.7541573446,
98,197,838360.4926839252,
99,199,,1280679.9860082956
99,199,837640.1104723653,
