epoch,step,train_loss_epoch,train_loss_step
0,0,817812.1225617683,
1,1,817768.3264557099,
2,2,817729.1834071149,
3,3,817688.5770814178,
4,4,817651.5251545736,
5,5,817613.0557696861,
6,6,817576.520692331,
7,7,817540.4193716601,
8,8,817504.4262906141,
9,9,817469.8788147309,
10,10,817435.1868397054,
11,11,817401.0097936379,
12,12,817367.8670469512,
13,13,817334.7259488786,
14,14,817302.2158335471,
15,15,817270.3394696257,
16,16,817238.3872350748,
17,17,817206.9387365482,
18,18,817175.8465942476,
19,19,817144.7708595223,
20,20,817114.1886764237,
21,21,817083.8532010769,
22,22,817053.6076250346,
23,23,817023.7914765604,
24,24,816994.15746447,
25,25,816964.7238536091,
26,26,816935.6534043758,
27,27,816906.7080141389,
28,28,816877.9949149061,
29,29,816849.5176976587,
30,30,816821.1382669271,
31,31,816792.9967243151,
32,32,816764.9996113541,
33,33,816737.095689151,
34,34,816709.3753975298,
35,35,816681.7210819069,
36,36,816654.2009836562,
37,37,816626.7989298507,
38,38,816599.4481335249,
39,39,816572.2436617222,
40,40,816545.1248916319,
41,41,816518.12115204,
42,42,816491.2359404371,
43,43,816464.4223250654,
44,44,816437.7219762017,
45,45,816411.0925719404,
46,46,816384.5790899518,
47,47,816358.1693175716,
48,48,816331.8363597348,
49,49,,816305.6010030892
49,49,816305.6010030892,
50,50,816279.4354926046,
51,51,816253.3641761796,
52,52,816227.3938758957,
53,53,816201.5194778212,
54,54,816175.7346789534,
55,55,816150.0319415759,
56,56,816124.4228838015,
57,57,816098.8879693899,
58,58,816073.4363020826,
59,59,816048.0625475846,
60,60,816022.7709934448,
61,61,815997.5691942177,
62,62,815972.4517172299,
63,63,815947.4181395607,
64,64,815922.4604195759,
65,65,815897.597491231,
66,66,815872.8042422782,
67,67,815848.0942192391,
68,68,815823.452643538,
69,69,815798.8881199806,
70,70,815774.3958566552,
71,71,815749.9758189168,
72,72,815725.6214088589,
73,73,815701.3326518536,
74,74,815677.0958721745,
75,75,815652.9116577213,
76,76,815628.7804987866,
77,77,815604.7109973269,
78,78,815580.7098053135,
79,79,815556.7609245082,
80,80,815532.8697448713,
81,81,815509.0325302659,
82,82,815485.250726459,
83,83,815461.5176536617,
84,84,815437.8353482203,
