epoch,step,train_loss_epoch,train_loss_step
0,4,1561737.7479883472,
1,9,1561318.705371573,
2,14,1560991.703171496,
3,19,1560577.85913703,
4,24,1560059.0312265279,
5,29,1559425.2811712394,
6,34,1558629.3808503866,
7,39,1557610.137546929,
8,44,1556326.9820303856,
9,49,,1451083.8237807832
9,49,1554624.6491904364,
10,54,1552265.2433184767,
11,59,1549281.7297273844,
12,64,1545590.8400575304,
13,69,1541074.2193831452,
14,74,1535502.710912435,
15,79,1528774.0049519583,
16,84,1520751.9154114858,
17,89,1511321.1685134498,
18,94,1500384.1723475736,
19,99,,1691424.9117449322
19,99,1487731.3766463797,
20,104,1473300.04016793,
21,109,1456977.3130490493,
22,114,1438646.1249277303,
23,119,1418416.8865591898,
24,124,1396206.673466867,
25,129,1372259.3833998505,
26,134,1346288.883074638,
27,139,1318737.7103307678,
28,144,1289810.772616272,
29,149,,1184048.5401696484
29,149,1259854.3696514675,
30,154,1229159.3942844376,
31,159,1198402.701890748,
32,164,1167658.5571126358,
33,169,1137996.5532949967,
34,174,1109667.6415306448,
35,179,1083438.5342363338,
36,184,1059942.092237766,
37,189,1039315.2316693559,
38,194,1022155.1852604722,
39,199,,894218.9012131691
39,199,1007932.0731055164,
40,204,996936.0556724175,
41,209,988368.3186868397,
42,214,981820.3385220587,
43,219,976650.8107647552,
44,224,972778.0176755987,
45,229,968760.4294688138,
46,234,965537.6164597877,
47,239,962114.148948243,
48,244,958592.0670682586,
49,249,,1024833.1408152386
49,249,955390.2222883663,
50,254,952092.9206018582,
51,259,948875.5142455705,
52,264,945689.9300287951,
53,269,942583.5385330687,
54,274,939367.1875646514,
55,279,936273.9756357438,
56,284,933027.2542905274,
57,289,930042.0046990119,
58,294,927079.0564123389,
59,299,,652149.1227625707
59,299,923987.5919875914,
60,304,921023.8611030222,
61,309,917926.5620795925,
62,314,914807.938595693,
63,319,911912.9259175966,
64,324,908853.5331650892,
65,329,905798.4186339804,
66,334,902758.286476203,
67,339,899706.3546727183,
68,344,896696.7748108191,
69,349,,1149573.7039160866
69,349,893717.8477574054,
70,354,890640.397093129,
71,359,887592.9647905004,
72,364,884532.6852755571,
73,369,881679.5020123612,
74,374,878783.102357993,
75,379,875652.6458332696,
76,384,873071.7885787782,
77,389,870298.5347394571,
78,394,867592.9720535548,
79,399,,983699.524604077
79,399,865171.8294336556,
80,404,862620.3133720953,
81,409,860215.8117247327,
82,414,857889.7581393452,
83,419,855731.7485129052,
84,424,853553.5547844215,
85,429,851476.9368302393,
86,434,849587.9303816888,
87,439,847661.6784765138,
88,444,845862.2486369128,
89,449,,798506.7728963715
89,449,844164.0937732093,
90,454,842574.1718804815,
91,459,841074.6814980187,
92,464,839717.7571266121,
93,469,838277.8983226193,
94,474,837088.4486418347,
95,479,835874.1214255148,
96,484,834869.0672829194,
97,489,833828.2464688127,
98,494,832894.3263391296,
99,499,,1061296.8132382634
99,499,831999.674272456,
